mate_description
0559 Broderie A PlacÇ
0559 Broderie B
058H4004
0687 Broderie B
0893 Broderie A All Over
0895 Broderie A All Over
09C001-9 GABARDINE
100 COTES ANGLAISES J5
100 JACQUARD CHEVRON
100 JBICOLORE J12
100 JERSEY BICOLOR J8
100 JERSEY RAYURES J12
100 JERSEY TRAITEMENT BLU MIST J14
100 JUNI J12
100 JUNI J12 COTE2/2
100 JUNI LISER BICOLORE J12
100 MAILLE COTES ANGLAISES J3
100 MAILLE UNI J12
100 POINT TISSU J8
100 TORSADE FILS MELANGES J7
100 UNI/APPLIC GABARDINE
100 UNI/MULTIPOINTS
101 JUNI J14
102 BOUCLETTE J18
102 JERSEY RAYURES FILET J18
102 JUNI  POINT MILTAIRE J18
102 JUNI J18
102 MAILLE 1 PATCH ROSE J18
102 MAILLE FLEUR BRODE J18
102 MAILLE JACQUARD CARREAUJ18
102 MAILLE UNIE J18
102+190 "ARGYLE" PLACE J18
103 JUNI J18
104 JUNI
105 JUNI 2FILS J8
105 JUNI J12
106 JUNI J18
107 JUNI J3
108 JERSEY J12
109 JACQUARD PIED DE POULE J18
109 JERSEY J18
109 JERSEY J18 INTERLOCK
109 POINT PIQUE J18
110 JERSEY J40
111 JERSEY J12
111 JERSEY J14
112 JERSEY POINT T J14
112 JERSEY UNI J18 + FILET
112 RAYURES CORDONS J12
113 JERSEY J3
114 JUNI J12 + JERSEY J3
115 JERSEY J12
116 JERSEY LISIERE
116 MAILLE TISSU
117 JERSEY J12 + LISIERE BICOL
118 JERSEY J12
118 JERSEY J12 + LISIERE
118 MAILLE DOUBLE BICOLORE J12
118+163 COTES ANGLAISES J12
119 JERSEY J14
119 JERSEY J14 + LISIERE
120 J TISSU J14
120 J TISSU J14 + LISIERE
121 JERSEY J18
122 SOFT ALPACA CHEVRON
122 SOFT ALPACA COTE ANGLAISE
123 INTARSIA CAMOUFLAGE
123 POINT TEDDY
124 GANSE LIN
124 JERSEY INVERS RAY IRREGULI
124 M JERSEY ABEILLE J18
124 MAILLE + APLLICATION J18
124 MAILLE COTE JACQUARD CDH16 J18
124+130 POINT TEXTURE J14
125 COTES + PIPING JERSEY J7
125 JERSEY
125 JERSEY INTEGRALE J5
125 JERSEY LUXE J8
125 MAILLE Det RAYURE J12
125 TRACKSUIT
126 COTES ANGLAISES + CUIR J8
126 JERSEY INTARSIA CD47 J12
126 MAILLE COTE ET JERS J5+12
126 MAILLE UNIE J3
126 MOTIF ARGYLE DEGRADE J12
126 RAYURE "CORDE"
126 RAYURES POINT STRUCTUREJ12
127 JERSEY DOUBLE J18
128/111 JERSEY & CONT BANDE
129 JERSEY DET CORDE
130 JERSEY J12
131+130 JERSEY RAY P CHAM J12
132 JDOUBLE J18
133 INTARSIA J18
133 INTERLOCK B CD J18
133 INTERLOCK RAYE J18
133 Jacquard Carreaux J18
133 JDOUBLE J18
133 JERSEY BICOLORE J18
133 Jersey effet lavÇ J18
133 JERSEY UNI
133 JERSEY UNI J18
133 MAILLE DOUBLE J18
133+143 MAILLE JERSEY J18
133+146 JACQUARD MUGUET J18
133+149 MAILLE JACQUARD J18
133+163 JERSEY COL TECHN J18
133+175 Maille dble bicol J18
134 JACQUARD RAYURE J18
135+136 JERS POILS CHAMEAU
136 JERSEY UNI J12
137 TORSADES J3
1375 Broderie A All Over
138+138 JACQUARD FLEUR J18
138+152 INSERTS BICOL J18
139 COTES ANGLAISES J14
140 "ARGYLE" TON SUR TON" J14
140 "CONTINUED DEFENSE"J18
140 +188+190 FAIR ISLE NEWWAVE
140 JACQU DISAPPEAR HERE J18
140 JERSEY TT SHADY BLACK J14
140 MAILLE POINT PIQUE J18
140 MAILLE PRINT DENIM J14
140+144 "FILET CAMOUFLAGE" J14
140+254 MAILLE EFFET DENIM J18
140JERSEY PRINT STORM WASH J12
141 RAYURE IRREGULIERE J18
142 MAILLE PIQUEE J18
143 1/2MAILLE TISSU J18
1437 NELSON USED
1437 ONE WASH SOFT
1437 SUDDLE DUTY USED
144 1/2MAILLE TISSU J18
144 MAILLE DOUBLE J18
144+142 JERSEY J18
145 MAILLE FIL RAYE J3
145 MAILLE JERSEY J5
145+140 M. DBLE FIL TRAME J14
1477 HELLO GOODBYE USED
1477 MULTI PAINT USED
1477 SILVER MAZORIA USED
148+100 CARREAUX FAIR ISLE J12
149 JACQUARD GRANVILLE BIC J18
149 JACQUARD GRANVILLE T/T J18
149 MAILLE RAYURE "RUGBY" J18
149+182+161+183 JACQUARD PdG
149+187 FILET TECHNIQUE
149+222+161MAILLE JAC NOISEJ18
149+222MAILLE JAC DIOR LET J18
149+253+239MAILLE JACQ DAN J18
150 MAILLE COTELEE J8
151 JERSEY EFFET DENIM J12
152 COTES ANGLAISES BICOL J14
153 MAILLE SURPI FIL TABAC J18
157 CASHMERE COTE ANGLAISE J18
157 M. I.GRAL+COL OPP+"CD" J18
157 MAILLE INTEGRALE J18
157 MAILLE JERSEY B ABEILLE
157+236 MAILLE UNIE VANISEJ18
157+250 MAILLE ROL POLI OR J18
1581 Broderie A PlacÇ
1581 Broderie B
1581 Broderie Scratch
1581 MatelassÇ Losange
1581 Print Paint
1625 PREMIUM VINTAGE USED
1639 Broderie A All Over
1639 Broderie A PlacÇ
165 M. JAC "ONLY THEY KNOW" J3
171+213 MULTI-RAYURES T/T J12
172 JERSEY + PATCHS J12
173 Jersey + Appli cuir J18
1739 TRAT 984 WASH
1739 TRAT SSW MARMO LCI
174+100 JERSEY & DETAILS J14
174+100 JERSEY +COTES
1741 TRAT KA1781/3 MARTELLI
1743 TRAT PM10-1232 LCI
1745 TRAT 989 WASH MODIF 1172
1747 TRAT 901 WASH
1749 TRAT PM10-1207 LCI
1750 TRAT PM10-1228 LCI
1751 TRAT KA1781/7
1752 TRAT PM10-1456 LCI
1755 TRAT PM10-1456 BIS
1757 TRAT A2651 MARTELLI
1758 TRAT KA3799/1 MARTELLI
1759 TRAT MARTELLI
176 + 177 JACQUARD CHEVRON J18
1760 JAKE TRAT UNDER MY CAR
1765 SOFT
1766 ASHLAND USED
1767 ONE YEAR USED
1767 WELL WORN USED
1770 PAINT USED 1
1771 SUDDLE DUTY USED 3
1772 HIYAKE USED
1772 SUNTAN USED
1789 Broderie A All Over
1789 Broderie C All Over Ouat
1790 Broderie A All Over
1790 Broderie A PlacÇ
1790 Broderie B
188 + 190 MAILLE RAYURES J18
188 + 258 MAILLE DETAIL EFFET
188 190 244SCRIBBLE MULTIC J18
188 CARREAUX A FIL FLOTTES J18
188 JACQUARD AO CDH16 J18
188 JACQUARD FAIR ISLE J14
188 JACQUARD FLEURS J14
188 JACQUARD SPIDER J18
188 JERSEY J18
188 JERSEY LAYERS OF ME J14
188 JUNI +188 COL MULTIRAY J18
188 M DBLE Z Det NYLON J18
188 MAILLE "SWEAT SHIRT" J18
188 MAILLE FIL FLOT STOCK J18
188 MAILLE INTARSIA J18
188 MAILLE RAYURES FEUTREESJ12
188 MAILLE RELIEF SPORT J14
188 POINT EFFET CARREAU+CD J14
188+140 FAIR ISLE INCRUSTE J18
188+149 POINT EFFET CARREAUJ14
188+163 M JERSEY Det COL J18
188+189 INTARSIA "ARGYLE" J14
188+189 J DETAILS SURPIQ J18
188+190 JACQUARD NEWAVE AO J18
188+190 JACQUARD NEWAVE BC J18
188+190 MAILLE JACQ DAN W J18
188+190 MAILLE STANDING IN J18
188+190 POINTS TRACKSUIT J14
188+190JACQUAR POIS NEWAVE J18
188+190MAILLE Dt MANCH B A J18
188+190MAILLE RAYURE SPORT J18
188+202+140 JACQUARD J14
188+208+237JACQ HIDE THESE J18
188+230 JACQUARD FLEURS J14
188+250 MAILLE MICRORAY APEJ18
188+250 MAILLE ROL POLI OR J18
188+255 JACQUARD EFFRANGE J14
188JACQU MECHANICAL SCRATCHJ12
188MAILLE ABEILLE D RAYURE J18
188MAILLE INTARSIA CONTOUR J18
188MAILLE UNI PATCH NEWAVE J18
1894 Broderie A PlacÇ
1894 MatelassÇ Losange
190+233 JACQUARD SURFACE DESTROY J18
199+190 JERSEY COTES MICRORAYURES J18
200 M. LARGE COTE+LOSANGE J3
2000
2000 MatelassÇ Losange
201 INTERLOCK BRODE SCREAM J18
201 JERSEY PRINT FLOCK DESTROY J18
201 M. DBLE MOTIF LOSANGE J18
201 MAILLE INTERLOCK J18
201 PRINT UNTITLED
202 MAILLE ARGYLE ET CUIR J18
204+205 MAILLE TORSAD JAC. J8
207+208+209+184 JACQUARD J18
207+210+208+193+184 JACQ. J18
211 MAILLE EFFET DENIM J14
212 MOULINEE DET ENVERS J3
214 MAILLE + AEROGRAPHE J18
214 TT ONE WASH
215+216 DOUBLE TEINTURE J14
217 RAYURES AIGUILLETTEES J12
219+222 PATCHWORK RUGBY J18
220+221 EFFET DEGRADE J18
220PATCHWORK ENDROIT/ENVERSJ14
223 BICOLORE + CUIR J14
223 JACQUARD FAIR ISLE DIOR J12
223 JACQUARD FAIR ISLE+CUIRJ14
223 JERSEY APPL FLEURS FEUTJ14
223 JERSEY J12
223 JERSEY J14
224 JERSEY B TROUS J12
224+185 INTRSIA CARREAUX J8
225+190 JACQUARD SPRAY PINTJ14
226 MICRO TORSADES J5
227 COTE ANGLAISE REPRISEE J3
227 MAILLE INT SHEARLING J3
227 MOTIVO NOVERGIAN J5
227+140+163+188 M COT MULTI J5
227+188 MAILLE TORSADES J3 J14
232 MAILLE POINT RELIEFE J5
233 PATCHWORK B MAIN J18
233+190 MAILLE FILET BANDE J18
234+154JERSEY FIL FANTAISIEJ12
235 JACQ UNKNOWN APPARENCE J12
241 JERSEY DE COTON J18
241+190 MAILLE TRACKSUIT J18
241+239 RAYURE FIL TRANSPARENT
241PATCH ESSENCE OF DESIRE J18
242 MAILLE JACQUARD ROSE J14
242+243+190 JACQUARD H. J18
246 MAILLE COTE PLATE HORIZ J3
247 MAILLE HOT FIX AO J12
247 MAILLE PRINT HARDIOR J12
247+248 MAILLE RAYURE IRREG J8
249 MAILLE EFFET VELOURS J18
251 MAILLE JERSEY FLAMME J3
255 MAILLE B ABEILLE J18
25510
256 MAILLE TT FROISSE
258 JACQUARD PIXEL J14
259+260+190MAILLE SCRAPBOOKJ18
265 MAILLE FROISSE PRINT POIS
27TH STADE
3226 avec Membrane
3226 IMPRIME
3450 Broderie SCREAM
34K
3571 Broderie SCREAM
3576 avec Membrane
3659 ContrecollÇ T Carreaux
3747 matelasse 10X10
3748 avec Membrane
3756 avec Membrane
3758 avec Membrane
3759 avec Membrane
3760 avec Membrane
3761 avec Membrane
3763 avec Membrane
3767 avec Membrane
3774 matelasse 10X10
3776 ContrecollÇ Thermo UNI
3782 avec Membrane
3787 avec Membrane
3821 avec Membrane
3830 Broderie Carreaux
3848 ContrecollÇ Thermo quadro
3938 matelassÇ
3971 avec Membrane
3971 Broderie SCRATCH
3973 avec Membrane
3974 avec Membrane
3976 avec Membrane
4 VELI MULTICOLOR
4022 Avec Membrane
4027 Avec Membrane
40311581 B Abeille AllOver
40311581 Patchwork C558K39
40311581 Patchwork C562K39
40313226 BROD NOEUD FIL N/B
40313830 BROD NOEUD FIL N/B
40313971 Patchwork C137W39
40313971 Patchwork C160W39
40313971 Patchwork C269W39
40313971 thermo TH0014
40314078 thermo TH0014
4031581 BROD NOEUD FIL N/B
4033 0333 imprimÇ all over Anchor chain
40330326 imrimÇ all over "Ancho Chain3
4062 PlissÇ
4062 PlissÇ + Impression Noire
4062 PlissÇ + Thermo
4063 PlissÇ
4063 PlissÇ + Thermo
4065 PlissÇ
4065 PlissÇ Thermo
4100 Avec Membrane
4121 SurimprimÇ
4122 avec Membrane
47 TEAM
5 TO 1
566 MAGLIA JACQUARD CD ALLOVER
60645
621 MAGLIA JACQUARD CD ALLOVER
626 JACQUARD API
627 JACQUARD CD
628 JACQUARD CD
629 JACQUARD GESSATO
630 JACQUARD CD + CHEVRON
631 JACQUARD CD + VICHY
632 JACQUARD API
633 JACQUARD CANNAGE
634 JACQUARD DIOR
635 JACQUARD CD
636 JACQUARD DIOR
637 UNITO BANDA CONTRASTO
638 JACQUARD CD
639 TINTA UNITA
640 TINTA UNITA
641 TWILL STAMPA DIOR
642 STAMPA CD + VICHY
643 HABUTAE STAMPA DIOR
645 HABUTAE STAMPA RIGA SFUMATA
646 GARZA STAMPA CANNAGE
647 STAMPA API
648 JACQUARD + STAMPA DIOR
649 JACQUARD RIGHE SOVRATINTO
650 JACQUARD MACROSCOZZESE
654 JACQUARD DIOR DANZANTE AO
655 JACQUARD DIOR DANZANTE AO
656 M T UNITA RIGHINA CONTRAST
657 M T UNITA RIGHINA CONTRAST
663 M T UNITA COSTA INGLESE
664 M T UNITA COSTA INGLESE
665 M T UNITA COSTA INGLESE
666 MAGLIA CD ALL OVER
674 JACQUARD CHEVRON MICRO CD ALL OVER
675 JACQUARD SAL PEP LOGO DIOR
683 JACQUARD PRINCE DE GALLES CD ALL OVE
684 JACQUARD MICRO DISEGNO
685 JACQUARD MICRO DISEGNO
690 JACQUARD PRINCE DE GALLES
694 JACQUARD MICRO DISEGNO
695 JACQUARD MICRO DISEGNO
696 JACQUARD DIS PIED DE POULE
703 STAMPA GEOMETRICA
7040 A47
716 UNITO + STAMPA LOGO
723 UNITO
725 SCOZZESE EFFETTO ARMATURA UNITO
726 UNITO
727 UNITO RIGHINA COL IN CIMOSSA
728 VOILE COTONE GESSATO
732 JACQUARD UNITO
734 MAGLIA DEGRADE DI COSTE
735 MAGLIA DEGRADE DI COSTE
736 COSTE
737 MAGLIA A COSTE
738 MAGLIA A COSTE
739 MAGLIA A COSTE
740 MAGLIA TRECCIA
741 MAGLIA TRECCIA
742 MAGLIA PUNTO RILIEVO
743 MAGLIA PUNTO RILIEVO
744 MAGLIA PUNTO TRECCIA
745 MAGLIA PUNTO RILIEVO
746 MAGLIA CON LATI A LOSANGHE
747 MAGLIA A RETE
748 JACQUARD RIGHE
749 CD ALL OVER
750 JACQUARD GALLES
751 JACQUARD CD ALLOVER
752 CD ALL OVER DIAGONALE
753 JACQUARD MAXI CHEVRON
754 JACQUARD DOPPIA ARMATURA
755 JACQUARD UNITA ARMATURA
756 JACQUARD MIMETICO
757 JACQUARD ARMATURATO
758 JACQUARD RIGA BARRE
759 JACQUARD CANAGE
760 JACQUARD UNITO A VENTAGLIO
761 JACQUARD UNITO
762 JACQUARD RIGHE BARRE
763 UNITO CON CORNICE
764 JACQUARD CHECK
765 JACQUARD GESSATO
766 JACQUARD SCOZZESE
767 JACQUARD CHEVRONNE
768 JACQUARD PRINCIPE DI GALLES
769 JACQUARD GIRO INGLESE
770 UNITO
771 JACQUARD GARZA CHEVRON
772 JACQUARD INTERROTTA
773 UNITO SHOCK TERMICO
774 JACQUARD CHEVRONNE
775 JACQUARD DISEGNO GRATTATO
776 JACQUARD A RIGHINA
777 JACQUARD A GIRO INGLESE
778 JACQUARD SALE A PEPE SHOCK TERMICO
779 JACQUARD CON CORNICE
780 JACQUARD GESSATO
781 JACQUARD BICOLORE
782 UNITO
783 JACQUARD GIRO INGLESE
784 MAGLIA DEGRADE DI COSTE
785 MAGLIA DEGRADE DI COSTE
786 MAGLIA DEGRADE DI COSTE
787 MAGLIA A COSTE
789 MAGLIA A COSTE
790 MAGLIA A COSTE
791 AGUGLIATA
802 JACQUARD
806 UNITO
807 DIOR DANZANTE LOGO JACQUARD ALLOVER
808 JACQUARD LOGO DIOR DANZANTE BICOLORE
809 CON RIGA DI RASO SETA
810 RIGATA CON FRANGE
811 TINTO FILO PRICIPE DI GALLES
812 RIGATA CON EFFETTO GHOST
813 CHEVRON
814 CHEVRON
815 EFFETTO GARZA
816 MICRO CHECK
817 CON CHECK
818 RIGATA DEGRADE'
819 UNITA CON BANDA BIANCA
820 CON MINI GESSATURA
821 CON DIOR "RASO 5"
822 GARZA+DIOR "RASO 5"
823 CON DIOR DANZANTE
824 DIOR DANZANTE
825 CON DIS RIGATO CLASSICO
826 UNITA DENIM
827 MAXI VICHY
828 DISEGNO RIGA + CHEVRON
829 GESSATO IKAT
830 JACQUARD
831 MAGLIA RIGATA
A CONF
A CONFIRMER
A renseigner
A166 + A185
A166 BANDA JACQUARD DIOR
A166 BICOLOUR
A166-60 LYCRA OPACA
A235
A235 BANDA JACQUARD DIOR
A235 BICOLOUR
A287 STAMPA CD
A302 BICOLOUR
A302 NYLON CINZATA
A304 FINE STRIPE
A361 + A384
A419
A419 + A387
A419 + A387 BICOLOUR
A473 + A474
A544
A544 BICOLOUR
A548 JACQUARD PLACE
A549 JACQUARD LOGO
A561 + F399 + A387 FINE STRIPE
A566 JACQUARD PLACE
A580 BLACK STRIPE PIQUET
A592 +A591 BANDA JACQUARD DIOR
A592+A594 +A593 JACQUARD PLACE
A596 BLACK STRIPE PIQUET
A597 FANCY CHIC
A597 JACQUARD PLACE
ABC NO RIO 2011
ABOUT TO HAPPEN
ABSTRACT CONCEPTION
ABYSS
Access de Broderie avec achat
Access de Broderie sans achat
Access d'Impression avec achat
Access d'Impression sans achat
Accessoires Metalic Oeillet
Accessoires Non Metalic Oeillet
ACETATE
ACETATE NYLON
ACIDIC
ACRYLIQUE
ADDICTED
AdhÇsif PP 28u Havane 48MM/100
AGN FOULARD 0.5/0.6 C +IMP
AGN FOULARD LUXE 0.5/0.6+I
AGN GLOV BLUSH 0.6-0.7 LAURET
AGN GLOV SERIGRA 0.6/0.7LAURET
AGN GLOVER BLUSH 0.4 LAURET
AGN GLOVER BLUSH 0.6 LAURET
AGN GLOVER HYDRO GOMA 0.6/0.65
AGN GLOVER HYDROS GOMA 06/065
AGN HAWAI GAIERA
AGN PLONGE 0.4/0.5 CHOIX C
AGN PLONGE L FERME 0.7/0.8
AGN VEL SERIG 0.4 LAURET
AGN VEL SERIG 0.7/0.8 LAURET
AGN VEL SERIGRA 0.7/0.8 LAURET
AGN VELOURS 0.5/0.6 UNIQUE
Agneau
Agneau / WS
Agneau A Poil Long
AGNEAU BIKER
AGNEAU BRILLANT
AGNEAU BRILLANT 0,3
AGNEAU BRILLANT 0,6
AGNEAU BRODERIE MAXI CANNAGE
AGNEAU CARISMA
AGNEAU CONTRECOLLE
AGNEAU CONTRECOLLE BICOLORE
AGNEAU CONTRECOLLE PERFORE BIC
AGNEAU COUTURE
AGNEAU CRAQUELE 0,7MM
AGNEAU DBLE FACE BRILLANT
AGNEAU DE BEARN
AGNEAU DE MONGOLIE
AGNEAU DE TOSCANE
AGNEAU DELAVE
AGNEAU DOUBLE FACE+BRD AJOUREE
AGNEAU EFFET NUAGE
AGNEAU EXTRA FIN
AGNEAU EXTRA FIN 0.3
AGNEAU EXTRA MAT
AGNEAU FOULONNE FINITION NAT.
AGNEAU GANTERIE EXTRA FIN
AGNEAU GANTERIE FIN
AGNEAU GANTERIE LUXURY
AGNEAU GARNITURE FOURRURE / CW
AGNEAU GARNITURES-PAR NB DE PE
AGNEAU GRAINE
AGNEAU IBERPLAK
AGNEAU IMPRIME BONDED NAPPA BLANC
AGNEAU IMPRIME PERFORE FACON RESILLE
AGNEAU LACAUNE
AGNEAU LAVE VINTAGE
AGNEAU MAT
AGNEAU MAT DB FACE PERFORE
Agneau Merinos
AGNEAU MIROR 0,4 BRILLANT
AGNEAU MIROR 0,7 BRILLANT
AGNEAU MOUTONNE
AGNEAU NAPPA 0,7MM
AGNEAU NAPPA GAUDI
AGNEAU NUBUCK
AGNEAU NUBUCK FINITION VIEILLI
AGNEAU NUBUCK POUR GARNITURE
AGNEAU PEAU LAINE NAPPALISE EX
AGNEAU PLONG2 0.6
AGNEAU PLONGE
AGNEAU PLONGE + LIN BRODE
AGNEAU PLONGE BRILLANT
AGNEAU PLONGE BRILLANT DB FACE
AGNEAU PLONGE BRILLANT STRETCH
AGNEAU PLONGE CLASSIC
AGNEAU PLONGE CLASSIQUE
AGNEAU PLONGE DOUBLE FACE
AGNEAU PLONGE EXTRA SOFT
AGNEAU PLONGE FIN
AGNEAU PLONGE FIN ENVERS NAPPA
AGNEAU PLONGE FOULARD
AGNEAU PLONGE FOURNI PAR CW
AGNEAU PLONGE IMPRIME STRETCH
AGNEAU PLONGE LEGER
AGNEAU PLONGE NETTOYABLE SEC
AGNEAU PLONGE PATCH
AGNEAU PLONGE PLUME
AGNEAU PLONGE POUR GARNITURE
AGNEAU PLONGE SOFT
AGNEAU PLONGE SOFT EXTRA FIN
AGNEAU PLONGE STRETCH
AGNEAU PLONGE STRETCH METAL
AGNEAU PLONGE STRETCH PLUME
AGNEAU PLONGE TRES FIN
AGNEAU POIL LONG
AGNEAU POUR CEINTURE
AGNEAU POUR GARNITURE
AGNEAU SOIE
AGNEAU SOUPLE MAT
AGNEAU SPORT
AGNEAU STRETCH
AGNEAU STRETCH NOIR
AGNEAU VEGETAL
AGNEAU VELOURS
AGNEAU VELOURS AVEC FLEUR
AGNEAU VELOURS ENVERS PLEINEFL
AGNEAU VELOURS EXTRA FIN
AGNEAU VELOURS REVERSIBLE
AGNEAU VELOURS SANS FLEUR
AGNEAU VELOURS STRETCH
AGNEAU VELOUS STRETCH
AGNEAU VERNIS
AGNEAU VERNIS PLUS EPAIS
AGNEAU VINTAGE
AGNEAU VINTAGE TAORMINA
AiguillÇ
AJOURE EN ALPAGA
AJOURE MOTIF FLORAL
ALBA
ALCOOL
ALIVE
ALLEGORIES
Alligator
ALPACA
ALPAGA
ALPAGA FOURRURE
Alpaga Jersey Jauge 3
ALPAGA POIL LONG
ALUMINIUM
AMBER 2/52
ANACONDA
ANAKIS
ANGEAU PLONGE DB FACE CT COLLE
ANGELS
ANGORA
ANGUILLE
Anneau MÇtalic
Anneau Non MÇtalic
ANTILOPE
ANTILOPE 2/60
ANTILOPE 2/80
ARC VISON LONG POILS+RASE
Arcadius
ARGENT
ARISTICINO BLU
ARISTICINO BLU JAP TAILOR
ARISTICINO BLU VINTAGE USED
ARISTICINO BLU WASH 1
ARISTICINO NERO SOLID
ARISTICINO NERO WASH1
ARISTICINO ROSE JAVEL
ARISTICINO STONE W BLACK
ArmurÇ Coton Technique
ARMURE UNI STRECH
ARTIC 4/100
ARTICHAUD MOYEN SUR GEORGETTE
ARTICLE NUL
ARTIST OVERNIGHT
AS GOOD AS NEW
ASH TT USED
ASTK ENVERS NAPPA+AGN TOSCANE
ASTRAKAN
ASTRAKAN AFGHAN+(KALG+MONG)
ASTRAKAN BRODE FLEURS LAINE
ASTRAKAN CONTRECOLLE AGNEAU
ASTRAKAN CRAZY COLORS
ASTRAKAN DEGRADE
ASTRAKAN ENVERS CUIR
ASTRAKAN ENVERS NAPPA
ASTRAKAN EVERS NAPPA
ASTRAKAN INCRUST BANDES STRASS
ASTRAKAN METALLISE
ASTRAKAN NOIR+APP. VIS/REN/PLU
ASTRAKAN OLIVE
ASTRAKAN OLIVE CONTRECOL MAILL
ASTRAKAN OLIVE S/ CACHEMIRE
ASTRAKAN PLEINE PEAU
ASTRAKAN POUR GARNITURE
ASTRAKAN RAYURES BRISEES
ASTRAKAN SWAKARA
ASTRAKAN SWAKARA BLANC
ASTRAKAN TRICOTE
ASTRAKAN TRICOTE BICOLORE
ASTRAKANS DEGRADE 3 COULEURS
ASTRALAN BICOLORE
ASTRONOMICAL
ATTACHE TETINE EN BOIS
AUTRUCHE
AVENUE MONTAIGNE
AWAY COLOURS
AYERS
BABY CAFL IMPRIME TACHES
BABY CALF NUBUCK
BABY CALF NUBUCK EXTRA FIN 0.3
BABY CALF UNI "PONY"
BABY CAMELHAIR
BABY LAMB RASE
BABY SAMARKAND 2/14
Baby velours uni
BABY WINDOW-UMBRELLA 60 FUSHIA
Bache uni
BALANCE
Balene MÇtalic
Balene Non MÇtalic
BALL BLACK
BANDE 2CM
BANDE 4CM
BANDE A RIGHE
BANDE ALENCON "ROSES" 10CM
BANDE BICOLORE JERSEY
BANDE BRODERIE ANGLAISE LING
BANDE CASTORINO COL 5H11COAD
BANDE CHANTILLY
BANDE CHANTILLY 2CM
BANDE CHANTILLY 3CM
BANDE CHANTILLY 4CM
BANDE CHANTILLY DOUBLE
BANDE DE COULEUR EN INTARSIA
BANDE DE DENTELLE ALENCON
BANDE DE DENTELLE CHANTILLY
BANDE DE DENTELLE D.SOPHIE
BANDE DE TULLE BRODEE LINGERIE
BANDE DE VISON
BANDE DENT. CHANTILLY BOUQUETS
BANDE DENTELLE
BANDE DENTELLE 2CM
BANDE DENTELLE 4CM
BANDE DENTELLE CHANTILLY
BANDE DENTELLE CHANTILLY 2CM
BANDE DENTELLE CHANTILLY 4CM
BANDE DENTELLE PLUMETIS
BANDE FLEUR SCHLAEPFER 80CM
BANDE GUIPURE ETROITE MUGUETS
