colo_description
QETF9 / RUTEN NERO/N
24P Rouge Cherr
CYA6X / RHOD.BLANC/P
H28EB / ORO MARRON/P
V60 VERT EMPIRE
N3N3 Gris/Gris 
05A NOIR/VERT  
469 Palla/bk/pk
FUSCHIA        
368 Rose brumeux
463 Violet     
R61FA00 CERISE
35ZJS GREY     
112 Naturel    
QTHJD / MARRONE/NY-B
219 Jaune      
GA00-05 Oro vec
C07 BEIGE      
580 BLANC BLEU 
ML418 LAN 418
234 Beige/Gris/
21O Paprika Red
GGX9A TERRE
P007 Pink   07
19A Pied de puc
MF 88 FEN 88
6LBEZ / RUTHENIUM/NY
L84IT / ROUGE/CR-BLU
MZRY1 HAVANA   
859 Multicolor/
MPOA-99 Mix P10
695 M‚tal vert 
268 Orange     
91D Noir/Jaune 
CWH   SHELL PINK/
CAMID 2431 pink
V526 Jeans blue
PU4TZ / ORO GIALLO/A
GT2IT / gold
ML94 LAN 949
MG955 GUT 955
78B Blanc/Marro
W00P010 BLANC O
41G Imprim‚ Gal
IVOIRE
YOSHI 515 pink
V736 Cole      
792 Bronze Opaq
J40P010 LIME PA
28C Blanc/Rose/
MF143 FEN 143
MF102 FEN 102
CAMID 2629 blue
712 Beige      
DXE46 / RUTEN TORT/N
EPUDO / black
571 BLEU MARINE
YOSHI 918 blue
MY294 YKK 294
MY138 YKK 138
KKLE5 / NOIR RUTHE/P
VVPD8 IVORY
N2A3 Light Grey / Si
P0R0 Pink / Red
G8A68 HVN/BLUE
VKU   RUT/PURPLE/
49AYX / VERDE/NY-GRE
MX9LC / violet
47A PAILLE/CACA
RRLVG /shiny red
B2M5 Mid blue/Light 
V7 Vert fonc‚  
N12 GRIS       
P0B7Z99 pall+su
16J PLATINO DOR
O5UHA HAVANA
Ochre
BIPMA / NERO BIALU/P
J5GXF / ORO/NY-LTGRE
H766 BROWN/KAKI
697 Bordeaux/Ro
EBCDB / MARR SC PR/C
P0R1-02 Geraniu
A85 PLASTIC BLU
XLC   RUTREHORE/
MG615 GUT 615
MG432 GUT 432
BLNHD Spi Grey 
02B Mer du Sud 
RDKLF / MALVA PEPE/C
EXLY1 PINK GRN 
0X8TW GREEN    
VIGNQ / BRNZGRIGIO/C
010FL / PALLADIUM-BR
30D BLANC/ARGEN
NKIDO / NERO RUTEN/N
FPN   HAVN HONE/
KJ1R0 / dark rutheni
MG17 GUT 179
10H Deep Forest
BEL 776 Blue
Negro
V263 Orange    
15C Bleu cupcak
791 Bronze bril
MY501 YKK 501
010KX / PALLADIUM/PL
646 Rouge Magiq
392 Gold/Black/
12H Wood Green 
63D Noir/Nights
QHA0L / LILLA/PL-VIO
16B BLEU MACCHI
ML87 LAN 877
510 BLEU GRIS  
NY7HA Acqua mop
MG415 GUT 415
GUYW7 / NERO SMLUC/M
D7Y   END GLD/AZ/
0868U / ECAILLE/CR-D
S0220 / BLANC/PL-MIR
412 Rose pale  
2105 Mastic    
Bright green
MG933 GUT 9333
MY817 YKK 817
ZG3KT / MARRONE SL/P
84A5J / BEIGE OR/NY-
09P ROSE CAMMEO
B56 BLEU       
A14 CIEL       
Z14 TRANSPARENT
Panther/Black
54A Carreaux bl
3OZXQ PRPL GREY
ML211 LAN 211
0I8JS VIOLET   
4U9MA / BLANC MAT/PL
383 Gld/Blck/Pi
504 Bleu azzuro
548 Bleu saphir
Blue/Orange 2
957 Bois de Ros
MY180 YKK 180
MG983 GUT 9833
MF285 FEN 285
P2R4 Mid Pink / Clar
Blue azur 2
ML416 LAN 416
H40B7 / havana glitt
6LBFU / RUTENIO/NY-L
027 Blanc m‚talis‚
P7R4 Dark purple/ Cl
B410 COSMO
911 Ant Gld/Red
Green/Honey
783 Pigeon / Or
P6A6X / RUTEN BLU/PL
DL5H9 / NOIR MAT/CR-
53JHA SILVER BR
CAMID 2218 brown
SINNB / VIOLA/CR-PIN
AULO0 / white
310 Rouge      
M3O7 Gold
R3B5 Dark red / Turq
MG307 GUT 3072
M50 CHOCOLAT M7
436 Wild rose/B
V64   MTVIOLVIO/
KDS6S / Brown
QLCP6 / MARR ORO/VIO
3YGZ2 / light gold
22Q Rouge/Rose 
V406 kaki   06
HIVX0 / GRIGIO/GRIS 
3HQ6E / RED SILVER/P
36H Nouveau Pri
MY38 YKK 389
433 Vert Sapin 
MY340 YKK 340
042 Vert/Multic
SRJSK CRYSTAL  
MG802 GUT 802
3GVHA Havana   
68E Rayures mut
OKVVN / BORDEAUX/NY-
MXFE5 / ROSSO LUCI/P
02J Bronze     
V002 Vert      
VW0HD PLUM     
O31 ORANGE     
Cauldron-coloured
KAZFL / ORROS BOOR/A
N0A8 Noir/Dark Grey 
MF 97 FEN 97
N47P010 GRIS PA
64Q MARINE / FU
BLEU GRIS
A5B0 White metal / B
E4K   BLACK RED/
OWNKR / NERO/VE-SMOK
61A Noir/Rose p
519 Bleu satin 
BZSY1 / GRIG NERO/CR
KFXAH / RUTENIO/PZ-G
CQIO9 / plum
EQWDO / OCRA CHIAR/N
YBYNR / HAVN BRWN/BR
YOSHI 504 yellow
15C Ecru/Gris  
ML402 LAN 402
042 Or Python  
W201 Unbleached   01
W2N0 Unbleached / Bl
562 Bleu       
KPPB8 / RUTENIO/PL-M
707 Marron     
83Q BLEU NUIT/K
03L NOIR/BLEU/N
B18 BLEU       
MG714 GUT 714
MF226 FEN 226
MF142 FEN 142
56C Ciel/Blanc 
548 Bleu Azur  
RFGP8 / RUT NE PER/V
18B Turquoise C
D72 Pavone     
E17 ROSE CENDRE
J305 Dark yellow   0
961   Gris Murmur
MY077 YKK 077
867 BLANC / COR
RVKY1 / VIOLA STRI/C
21Q Bleu/Rose V
MG332 GUT 332
LFVL3 / BORDEAUX/CR-
428 Shocking ro
CAMID 2502 purple
0AL   MTDKRUTHA/
VKS   GLD/BEIGE/
QDR27 / VIOLA/PL-BRW
DKDNP / GRGVIOCORN/N
MD4SS TRSP GREY
623 pala/tquois
VVRJD BROWN    
097 BLU / ROSE 
DNXDD / MARR ARGEN/C
DGBVI / NOIR RUTHE/V
57D BORDEAUX/OR
JUXYY / GLDCHOLEA/BR
CSA56 / Black
Natural/Sandy
BEL 903 White off
CXZB3 / GRIGIO TRA/P
MDVHD GREY/LILC
P0N5 Pink/Anthracite
G4Z9-05 Multico
MY347 YKK 347
53C Noir/Argent
E4E53 / HAVANARED
06A Light S/Dar
03P Rose       
N5B6 Anthr. Grey /In
677 Vert       
P0B6W00 pall+sm
YB7VK / rodium
90C MARINE/LAUR
30Z MULTICOLORE
028 Blanc cass‚
N35G100 GRIS DI
J5GQ0 / ORO/AP-BROWN
M38S2 Brown-ivo
Y80 BLEU DE PRU
YOSHI 835 blue
Red 3
MY139 YKK 139
50B 50B Rouge/Nature
Q66 PETALO     
Turquoise 2
M71   BLPL BKCR/
D28JJ BLACK    
39Q blanc/rouge
pila
N2N3 Light grey/Midd
MF322 FEN 322
D2844 / black transp
073 Blanc      
372 Rose milk shake
P0A8O72 pall.+p
29H Carreaux Gr
Apricot-coloured
CARUU / BIA NR GRG/P
07Q Mineral Blu
140 140 Vert/Jaune/R
P20 LILAS      
O201 Orange moy
555T4 LGHT HVN 
Garnet-red
44B Carreaux Ba
F28 ROSE FLUO  
931 NOIR / BLEU
50T Dk.Brick/Te
H06Q Rouge&Bleu
Special red
A1N0 Gold / Black
P504 Light purple   
916 Beige/Foula
ML622 LAN 622
58C Bleu/Orange
281 prune marro
V08QU HAVANA   
AOOTT HVNA/ORNG
380 ROSE POUDRE
FYVYM / GRIS VERT/PL
HMVQT / MAR BR AVA/P
109 109 Beige/Rouge 
56B 56B Ultramarine/
MF235 FEN 235
L6LJD Bronze   
P212 PAL+ LIGHT AMET
LGA1E / VERDE AVAN/C
522 Bleu Azur  
650 Kaki       
833 Purple Orch
6LB6S / RUTHENIUM/NY
H04E Bleu Mult2
20U Eggshell Be
P603 Middle purple  
009 Blanc d hiv
36A Rose/Noir  
R0M2 Red / light bei
MY061 YKK 061
C46 BEIGE      
48C Beige/Jaune
PZGVK / Pallad BLUE
SOCN3 / NERO ROSSO/P
13C Beige / Lune
6A8HJ KAKI     
316 P‚tale de r
NY1PE / brown 
MG241 GUT 241
9N72K BLUE TWEE
010WJ PALLADIUM
328 Rose cherie
CXBNP / VIOLA/NY-PIN
92B 92B Zinc chin‚ /
36L COBALT/GLAC
V40 VERT       
308 DAHLIA     
3YGQN / ORO CHIARO/N
10Q BLEU MIRAGE
086 Imprim‚ ray‚
P901 Shining pink   
MY918 YKK 918
67H Blanc/Impri
Royal blue
Green/Blue
047 Beige limai
MF145 FEN 145
JIQR8 / OROROS RUT/N
014 Blanc      
I5WJJ BLACK    
505 Bleu trousseau
J32 JAUNE ACIDE
274 GRIS       
F3VEQ / MARCH MARR/N
60CLF Metalzd p
B69P010 MYRTILL
075 Latte/Noir 
PRH8U / MARRONE/CR-D
EI0   FUCHSPLUM/
ML26 LAN 269
274 Rose degrad
D0059-MU22+MN24
32H Agave Green
11B Rose/Blanc 
04D Imprim‚ Vic
MY352 YKK 352
BHSP0 / OLIVA LEOP/N
308 Peche      
010H1 / PALLADIUM/NY
MF 83 FEN 83
71G Motif Nuage
P0A8D10 pall.+p
2V702 / MARR CORN/CR
583 Bleu ardois
6LB2B / RUTHENIUM/NY
62THD GREY
362 Fuchsia    
914 Noir       
006UU / GL„SCHW/PL-G
47C Poudre/Beig
72A Bleu vif/Ca
EDYY1 / VIOLA SCCH/C
124 Beige      
Navy 06
RZSHD PALLADIUM
MF 10 FEN 10
709 CIEL       
Z00 BLANC/NOIR 
56G Beige/Bleu/
E93 BRONZE     
LHFNR BURGUNDY 
GCM8-05 Amarant
TVCAF BLUE/GRN 
BKTZR / RUTEN GRIG/N
MF100 FEN 100
086S3 / HAV FONCE/NY
MXB9D / MAR SC NER/M
86QBA Gold-hava
MYSNI / OLI SCURO/PL
054 ROUGE      
26C Orange Rivi
YB7UU / ARGENT/PL-GR
SZEMH / grey
943 Grey jean
031 Blanc cass‚
979 Gris Caillo
Navy 3
MY097 YKK 097
MY393 YKK 393
2Z0Y1 Black-gre
PSY96 / VIO BI TUR/A
QSVMO / NERO  STRI/P
083 Havane     
197 ORANGE/ORAN
C35 BEIGE      
Pompadour
9DV86 / ARGENTO OP/G
807Y2  / GREY POLA
04B Blanc / Blanc
F44 VIOLET     
530 Violet fonc
SUKMQ / GRIGIO AVA/M
MF342 FEN 342
YOSHI 550 blue
513 Bleu layett
11RLA VIOLET BR
309 Ros‚e      
SATR5 / OR CH SEM/NO
SAMKI / RUTEN BL/NY-
458 Lilac      
LCUT7 BLUE/CRYS
38K Jaune M‚tal
MY327 YKK 327
01H Vert Tundra
POGIC / NERPAL NER/N
DTSHD / Brown
903 Argent vieilli
MG167 GUT 167
CVL9C / DARK RUTHE/D
O206 SUNSET   06
QXB35 / ROSA LUCID/P
B404 Navy blue   04
DUZ   TRAN BRN/T/
51C Cielo/Bleu 
SHB46 / MAR VIO SC/N
J5GJN /gold&br/violt
8UDBH / SABBIA/CR-BR
M17 MARRON     
575 Bleu turquo
604 Sanguine   
74E Beige/Vert 
77E Rayures giv
52C ROUGE FLUO/
I5J02 Havana   
Blue 01
OSR   PALL/WHTE/
669 BLEU / ROSE
J5GPQ / ORO/PL-LG VI
53D BORDEAUX/RO
35B Bleu / Blanc
MF 63 FEN 63
CDKX0 / RUTEN GRIG/G
2GT15 / Black+Pallad
DZT72 / BLEU MAT/GRI
RXEON / RUT SC BOR/N
TUYXT GUN/BLUE 
405 Beige fonc‚
MG274 GUT 274
04E Roccia/Mult
H2ILF / ROSSO NERO/C
YOSHI 518 red
QCE3X / ENDURA GOL/C
628 Pink gold /
J67 DORE 9652  
YOSHI 513 pink
Z12 BLANC / BEI
MY099 YKK 099
419 Vert fluo  
14C Vert Anglai
60Q Vert fonc‚/
RHPO0 / NE ORO CH/NY
297 Cuivre     
262 Jaune Tonic
19D Jean/Rose D
ML337 LAN 337
70HJ6 FUSHIA
074 Brod Rose/O
JP7DX Cyclamen 
R0W0 Red / White
086BH / dark havana
VGRQX Lght hava
PNE   VIOPLCARA/
17E Orange/Bleu
MF242 FEN 242
F001 Fuchsia   01
ML691 LAN 691
006J4 / NOIR BRIL/MP
PV8LF / grey
GAAUQ / VIOLA/PL-PIN
MC181 COATS 1811
RHZDA / OLIVA/CR-BRW
EIMPG / AVNFUCVIOL/C
TXXN1 / GRIG NERO/NY
AN9BN / REDSHRUSA/DK
G50HD STR GREY 
575 BLEU MARINE
MZTKL / ORLU MARST/P
FROZC / ROSSO LUCI/P
MG464 GUT 464
MG53 GUT 5396
XLA   BLACK RED/
580 Bleu porcel
944 Noir       
04O Clementine 
BSEDD / brown 
47C NOIR/ROSE  
O60BD BLACK - B
PUZ8T / MARRONE/NY-B
W16 CRUST      
0119Y / PALLAD.MAT/P
908 Noir       
ANZYI / CACAO/ME-BRO
RFRMH / OLIVA MARR/N
FYRY1 / GRIS FONCE/C
ECH95 / GRIG MARR/BR
T64 GRIS       
0AMQT DARK GUN 
GTEUQ / CYCLAMEN/PL-
18D Parma/Sand/
YB7IK / silver
SJFN1 / RUTANT SEM/N
35B BLEU PAVONE
10O ORANGE     
A5N1 White metal / G
413 ROSE ANTIQU
J1P8U / BLEU MAT/CR-
ML166 LAN 166
AM5Y1 BLACK    
484 PARME      
EEPK6 / MARR ARANC/P
24Z Tigre      
193 193 Blanc argent
259 Jaune salamandre
443 Kaki jeep  
296 Cuivre     
YB7SG / ARGENT/AP-MI
455 Violet     
853 Gris vison/
39D Aubergine/M
00H   BLKGRYBLK/
948 Noir/Violet
MY864 YKK 864
KJ1B3 / RUTENIO SC/P
LJB9A / BLEU OPALE/C
ML738 LAN 738
F98 VIOLET     
M1J0 Beige / Yellow
MY563 YKK 563
307 Fluo pink  
P1J2 Ligh pink/
M0A2 Brown/Bronze
HZZLF / VIEUX ROSE/C
YVWBN / AVANA NERO/D
762 Brown/Yello
29T Mauve/Blue 
B78 MARINE     
H33Q Noir/Marin
Shoking pink
N14LC / VIOLA ROSS/C
86YM8 / dark bordeau
703 Marron     
N33 GRIS       
Dark pink
MG345 GUT 3454
H7N   MATTE BLAC/
ANSON / NOIR RUTHE/N
HXDSB / SALMONE/CR-R
D28Y2 / NOIR BRILL/C
602 Vert       
W
36C Muscade/Gre
807YQ / ME-GREY GREE
348 Pal/gree/bl
ML688 LAN 688
A00 PASTEL     
052 Jade       
VVW95 / RUTSC ALL/AP
MY120 YKK 120
003RA / SCHWMT/PZ-GR
3YG4I / light gold
N1W0 Grey / White
218 Jaune jonqu
1O5CC HAVANA   
HVL   DKRT HAV/
613 Rouge gourm
013 palla/red  
773 JAUNE CLAIR
ML85 LAN 855
10H VERT       
799 Gris / Rose
PPOY2 / NEROSMLUCI/C
AUCZW / green
D2SIF / ROSA/PL-LILA
BGGLF / COQUIL.GRI/C
263Y1 BLACK    
MF 52 FEN 52
A4A4 Copper / Copper
QRA6J / MARR CRIST/N
012 Multi Nude 
Q41   BRWRED BR/
Q4B   RED HVNRD/
M2VSS / Shiny blue
J06 JAUNE      
YB73I / ARGENT/NY-BL
53G Imprim‚ Und
Y3B8E GOLD     
60C Imprim‚ r‚editio
C95 BEIGE      
DFVFL / ROSE OR/AP-B
ML11 LAN 114
27Q Mauve/Rose 
MG540 GUT 540
Q56 ROSE CHERIE
MY262 YKK 262
BC1TT / ROSSO/CR-RED
V086S / AVANA/NY-BRO
03N BLEU NUIT/M
P4W0 Purple / White
839 839 Myrtille
D8XJD / MARRONE/NY-B
P010- P010-FL Pallad
ML728 LAN 728
PECLF / BLACK SEMI/C
SZU1M / ORO CH AVA/N
QUIZR / PALLADIUM/NY
RAOE5 / ARGEN NERO/P
21P ROSE       
R005 Red   05
MG177 GUT 177
MG288 GUT 288
FIMZV / NERO VERDE/N
Y10 VINO/ROSE P
607 Vert       
910 Gris clair
63BWATERBLUE&B 
194 Or         
VD8YC / FANT VERT/NY
DKHQK / VERDE/NY-GRE
967 Black/Brown
R2P6 Mid. Red/Mid Pu
QYB5J / ROD PORPOR/N
57Z BLEU CIEL/V
SUYIJ / orange
ML417 LAN 417
EMG2R Cycla-vio
417 Menthe givr‚e
607 Ag whit/blu
TTP   SEMISHINY/
MLHVW / ORO LUC/PZ-D
6LBVA / RUTHENIUM/NY
YP4C2 / brown
TRND8 / AVANA ROSA/C
RAVIT YELL/PINK
63B Bleu/Rouge/Blanc
R2Z0 Red / Transpare
FA00-02 Oro Ant
XMGHA GOLD - PA
097            
FZUDB / BLANC OPAL/C
992 Canon Fusil
N4J2 Drk Green/Mid Y
D62 LAGUNA     
544 Pall/pk/bge
B61P010 MARINE 
HXCLE / AUBERGINE
KACN2 / PALL SMLUC/R
888 Gris       
570 Bleu       
O5T   CLOCYCLMT/
ML414 LAN 414
05H Vert Anglai
588 Bleu       
536 Bleu/Emerau
POA8Z85 pall+or
926 Naturel/Mul
ML473 LAN 473
WG802 / gold
MY062 YKK 062
DOH9C Blue     
